,Coefficients
summit_elev,0.00048332615355100027
vertical_drop,0.0011117931673306639
trams,-0.9110014331380706
fastEight,4.203989388047418
fastSixes,-0.9686972354513746
fastQuads,-0.4606935019290786
quad,0.14511826507583853
triple,0.3411296768856717
double,-0.2934456554100896
surface,-1.2480863428479918
total_chairs,0.8083131610209394
Runs,-0.028645655914261263
TerrainParks,0.03746053157799273
LongestRun_mi,-0.41716782607373176
SkiableTerrain_ac,-6.32032266667526e-05
Snow Making_ac,0.003588715317697666
daysOpenLastYear,0.013775583389691759
yearsOpen,0.0032842626644523643
averageSnowfall,-0.0002426452458399453
AdultWeekday,0.8071975739706627
projectedDaysOpen,-0.0016487144380516738
NightSkiing_ac,0.007678238030745854
difference,-3.552713678800501e-15
clusters,-1.4019882720785026
Alaska,-3.0002918551581015
Arizona,-4.897228548305826
California,-6.05777494754877
Colorado,-3.81090549545288
Connecticut,4.030759486198325
Idaho,-7.236024168602695
Illinois,0.821653395430476
Indiana,-5.3209788904867015
Iowa,-4.015949814023701
Maine,1.3697464000962005
Maryland,10.234036897537887
Massachusetts,7.99693342352924
Michigan,-0.734790667100969
Minnesota,-3.1447000217416394
Missouri,-3.318349429444491
Montana,-9.446389088943048
Nevada,-1.7387230695234428
New Hampshire,5.862765310411471
New Jersey,1.0079602687565663
New Mexico,-7.437657606276341
New York,-0.2577376452570426
North Carolina,12.73193514116914
Ohio,-6.338009731478212
Oregon,-5.447825355382346
Pennsylvania,2.928308779645044
Rhode Island,3.6274366334935437
South Dakota,-6.744791525329227
Tennessee,19.369346712239008
Utah,-0.5412217823031574
Vermont,0.9022852765783531
Virginia,6.8397548029593205
Washington,-3.8706125127314133
West Virginia,9.95984999874798
Wisconsin,0.8297474929077355
Wyoming,-5.152557864610232
